# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1000.00,1000.00,1.00,0.00,880.85,1007.58,1126.73,1000.00,26.77,5.00e-02
1050.00,1000.00,1.00,0.00,902.51,1007.39,1154.89,1000.00,26.83,5.13e-02
1100.00,1000.00,1.00,0.00,919.54,1007.22,1187.68,1000.00,26.88,5.47e-02
1150.00,1000.00,1.00,0.00,932.69,1007.05,1224.36,1000.00,26.92,5.93e-02
1200.00,1000.00,1.00,0.00,942.81,1006.89,1264.09,1000.00,26.99,6.40e-02
1250.00,1000.00,1.00,0.00,950.65,1006.74,1306.09,1000.00,27.00,6.83e-02
1300.00,1000.00,1.00,0.00,956.81,1006.59,1349.78,1000.00,27.05,7.19e-02
1350.00,1000.00,1.00,0.00,961.73,1006.45,1394.73,1000.00,27.13,7.48e-02
1400.00,1000.00,1.00,0.00,965.71,1006.32,1440.61,1000.00,27.15,7.72e-02
1450.00,1000.00,1.00,0.00,968.99,1006.19,1487.20,1000.00,27.17,7.91e-02
1500.00,1000.00,1.00,0.00,971.72,1006.07,1534.34,1000.00,27.20,8.06e-02
1550.00,1000.00,1.00,0.00,974.03,1005.95,1581.92,1000.00,27.22,8.19e-02
1600.00,1000.00,1.00,0.00,976.01,1005.83,1629.83,1000.00,27.25,8.30e-02
1650.00,1000.00,1.00,0.00,977.71,1005.72,1678.01,1000.00,27.29,8.39e-02
1700.00,1000.00,1.00,0.00,979.19,1005.62,1726.42,1000.00,27.27,8.47e-02
1750.00,1000.00,1.00,0.00,980.50,1005.52,1775.02,1000.00,27.30,8.55e-02
1800.00,1000.00,1.00,0.00,981.65,1005.42,1823.77,1000.00,27.32,8.61e-02
1850.00,1000.00,1.00,0.00,982.68,1005.32,1872.64,1000.00,27.33,8.68e-02
1900.00,1000.00,1.00,0.00,983.60,1005.23,1921.63,1000.00,27.32,8.73e-02
1950.00,1000.00,1.00,0.00,984.43,1005.14,1970.72,1000.00,27.33,8.79e-02
2000.00,1000.00,1.00,0.00,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
2050.00,1000.00,1.00,0.00,985.86,1004.97,2069.11,1000.00,27.35,8.89e-02
2100.00,1000.00,1.00,0.00,986.48,1004.89,2118.41,1000.00,27.36,8.93e-02
2150.00,1000.00,1.00,0.00,987.05,1004.82,2167.76,1000.00,27.36,8.97e-02
2200.00,1000.00,1.00,0.00,987.58,1004.74,2217.16,1000.00,27.37,9.02e-02
2250.00,1000.00,1.00,0.00,988.06,1004.67,2266.61,1000.00,27.38,9.05e-02
2300.00,1000.00,1.00,0.00,988.51,1004.60,2316.09,1000.00,27.38,9.09e-02
2350.00,1000.00,1.00,0.00,988.93,1004.53,2365.60,1000.00,27.39,9.13e-02
2400.00,1000.00,1.00,0.00,989.31,1004.46,2415.15,1000.00,27.39,9.16e-02
2450.00,1000.00,1.00,0.00,989.68,1004.40,2464.72,1000.00,27.39,9.19e-02
2500.00,1000.00,1.00,0.00,990.01,1004.33,2514.32,1000.00,27.40,9.22e-02
2550.00,1000.00,1.00,0.00,990.33,1004.27,2563.94,1000.00,27.40,9.25e-02
2600.00,1000.00,1.00,0.00,990.63,1004.21,2613.59,1000.00,27.40,9.28e-02
2650.00,1000.00,1.00,0.00,990.91,1004.16,2663.25,1000.00,27.40,9.31e-02
2700.00,1000.00,1.00,0.00,991.17,1004.10,2712.93,1000.00,27.41,9.34e-02
2750.00,1000.00,1.00,0.00,991.42,1004.05,2762.63,1000.00,27.41,9.36e-02
2800.00,1000.00,1.00,0.00,991.65,1003.99,2812.34,1000.00,27.41,9.38e-02
2850.00,1000.00,1.00,0.00,991.88,1003.94,2862.06,1000.00,27.41,9.41e-02
2900.00,1000.00,1.00,0.00,992.09,1003.89,2911.80,1000.00,27.41,9.43e-02
2950.00,1000.00,1.00,0.00,992.29,1003.84,2961.55,1000.00,27.41,9.45e-02
3000.00,1000.00,1.00,0.00,992.48,1003.79,3011.31,1000.00,27.41,9.47e-02
1000.00,1050.00,1.00,0.00,903.97,1057.39,1153.42,1050.00,26.62,5.66e-02
1050.00,1050.00,1.00,0.00,930.66,1057.22,1176.56,1050.00,26.73,5.50e-02
1100.00,1050.00,1.00,0.00,952.35,1057.05,1204.70,1050.00,26.80,5.64e-02
1150.00,1050.00,1.00,0.00,969.42,1056.89,1237.47,1050.00,26.86,6.01e-02
1200.00,1050.00,1.00,0.00,982.60,1056.74,1274.14,1050.00,26.91,6.50e-02
1250.00,1050.00,1.00,0.00,992.74,1056.59,1313.85,1050.00,26.97,7.01e-02
1300.00,1050.00,1.00,0.00,1000.60,1056.45,1355.85,1050.00,27.02,7.47e-02
1350.00,1050.00,1.00,0.00,1006.77,1056.32,1399.55,1050.00,27.03,7.85e-02
1400.00,1050.00,1.00,0.00,1011.69,1056.19,1444.49,1050.00,27.10,8.16e-02
1450.00,1050.00,1.00,0.00,1015.68,1056.07,1490.38,1050.00,27.12,8.41e-02
1500.00,1050.00,1.00,0.00,1018.97,1055.95,1536.98,1050.00,27.18,8.60e-02
1550.00,1050.00,1.00,0.00,1021.70,1055.83,1584.13,1050.00,27.18,8.77e-02
1600.00,1050.00,1.00,0.00,1024.02,1055.72,1631.71,1050.00,27.21,8.90e-02
1650.00,1050.00,1.00,0.00,1025.99,1055.62,1679.62,1050.00,27.22,9.01e-02
1700.00,1050.00,1.00,0.00,1027.70,1055.51,1727.82,1050.00,27.25,9.11e-02
1750.00,1050.00,1.00,0.00,1029.18,1055.42,1776.23,1050.00,27.27,9.20e-02
1800.00,1050.00,1.00,0.00,1030.49,1055.32,1824.83,1050.00,27.29,9.28e-02
1850.00,1050.00,1.00,0.00,1031.64,1055.23,1873.59,1050.00,27.27,9.35e-02
1900.00,1050.00,1.00,0.00,1032.67,1055.14,1922.47,1050.00,27.29,9.42e-02
1950.00,1050.00,1.00,0.00,1033.59,1055.06,1971.46,1050.00,27.30,9.48e-02
2000.00,1050.00,1.00,0.00,1034.42,1054.97,2020.55,1050.00,27.31,9.54e-02
2050.00,1050.00,1.00,0.00,1035.17,1054.89,2069.72,1050.00,27.32,9.59e-02
2100.00,1050.00,1.00,0.00,1035.85,1054.82,2118.96,1050.00,27.33,9.65e-02
2150.00,1050.00,1.00,0.00,1036.48,1054.74,2168.26,1050.00,27.32,9.69e-02
2200.00,1050.00,1.00,0.00,1037.05,1054.67,2217.62,1050.00,27.32,9.74e-02
2250.00,1050.00,1.00,0.00,1037.57,1054.60,2267.02,1050.00,27.33,9.79e-02
2300.00,1050.00,1.00,0.00,1038.06,1054.53,2316.47,1050.00,27.33,9.83e-02
2350.00,1050.00,1.00,0.00,1038.51,1054.46,2365.95,1050.00,27.34,9.87e-02
2400.00,1050.00,1.00,0.00,1038.92,1054.40,2415.47,1050.00,27.34,9.91e-02
2450.00,1050.00,1.00,0.00,1039.31,1054.33,2465.02,1050.00,27.34,9.95e-02
2500.00,1050.00,1.00,0.00,1039.67,1054.27,2514.60,1050.00,27.35,9.98e-02
2550.00,1050.00,1.00,0.00,1040.01,1054.21,2564.20,1050.00,27.35,1.00e-01
2600.00,1050.00,1.00,0.00,1040.33,1054.16,2613.83,1050.00,27.35,1.01e-01
2650.00,1050.00,1.00,0.00,1040.62,1054.10,2663.47,1050.00,27.35,1.01e-01
2700.00,1050.00,1.00,0.00,1040.90,1054.05,2713.14,1050.00,27.35,1.01e-01
2750.00,1050.00,1.00,0.00,1041.17,1053.99,2762.82,1050.00,27.35,1.01e-01
2800.00,1050.00,1.00,0.00,1041.42,1053.94,2812.52,1050.00,27.36,1.02e-01
2850.00,1050.00,1.00,0.00,1041.65,1053.89,2862.24,1050.00,27.36,1.02e-01
2900.00,1050.00,1.00,0.00,1041.87,1053.84,2911.97,1050.00,27.36,1.02e-01
2950.00,1050.00,1.00,0.00,1042.09,1053.79,2961.71,1050.00,27.36,1.03e-01
3000.00,1050.00,1.00,0.00,1042.29,1053.75,3011.46,1050.00,27.36,1.03e-01
1000.00,1100.00,1.00,0.00,922.24,1107.22,1184.98,1100.00,26.49,6.73e-02
1050.00,1100.00,1.00,0.00,953.75,1107.05,1203.30,1100.00,26.63,6.20e-02
1100.00,1100.00,1.00,0.00,980.48,1106.89,1226.41,1100.00,26.70,6.02e-02
1150.00,1100.00,1.00,0.00,1002.22,1106.74,1254.52,1100.00,26.78,6.17e-02
1200.00,1100.00,1.00,0.00,1019.31,1106.59,1287.28,1100.00,26.84,6.57e-02
1250.00,1100.00,1.00,0.00,1032.52,1106.45,1323.93,1100.00,26.89,7.10e-02
1300.00,1100.00,1.00,0.00,1042.68,1106.32,1363.64,1100.00,26.96,7.64e-02
1350.00,1100.00,1.00,0.00,1050.55,1106.19,1405.64,1100.00,27.00,8.13e-02
1400.00,1100.00,1.00,0.00,1056.73,1106.06,1449.33,1100.00,27.02,8.54e-02
1450.00,1100.00,1.00,0.00,1061.66,1105.95,1494.28,1100.00,27.07,8.86e-02
1500.00,1100.00,1.00,0.00,1065.66,1105.83,1540.17,1100.00,27.13,9.12e-02
1550.00,1100.00,1.00,0.00,1068.95,1105.72,1586.78,1100.00,27.14,9.33e-02
1600.00,1100.00,1.00,0.00,1071.69,1105.62,1633.93,1100.00,27.19,9.50e-02
1650.00,1100.00,1.00,0.00,1074.00,1105.51,1681.51,1100.00,27.19,9.64e-02
1700.00,1100.00,1.00,0.00,1075.98,1105.42,1729.44,1100.00,27.20,9.76e-02
1750.00,1100.00,1.00,0.00,1077.69,1105.32,1777.63,1100.00,27.23,9.87e-02
1800.00,1100.00,1.00,0.00,1079.17,1105.23,1826.05,1100.00,27.23,9.96e-02
1850.00,1100.00,1.00,0.00,1080.48,1105.14,1874.66,1100.00,27.25,1.00e-01
1900.00,1100.00,1.00,0.00,1081.64,1105.06,1923.42,1100.00,27.27,1.01e-01
1950.00,1100.00,1.00,0.00,1082.66,1104.97,1972.31,1100.00,27.28,1.02e-01
2000.00,1100.00,1.00,0.00,1083.59,1104.89,2021.31,1100.00,27.30,1.03e-01
2050.00,1100.00,1.00,0.00,1084.42,1104.81,2070.40,1100.00,27.31,1.03e-01
