# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1000.00,1000.00,1.00,0.00,880.85,1007.58,1126.73,1000.00,26.77,5.00e-02
2000.00,1000.00,1.00,0.00,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
1000.00,2000.00,1.00,0.00,990.06,2005.05,2014.99,2000.00,23.85,1.21e+00
2000.00,2000.00,1.00,0.00,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,1.00,0.79,1000.00,1015.04,1015.04,1000.00,28.09,6.50e-02
2000.00,1000.00,1.00,0.79,1000.00,1010.07,2010.07,1000.00,27.40,1.02e-01
1000.00,2000.00,1.00,0.79,1010.07,2000.00,2010.07,2000.00,23.25,2.84e+00
2000.00,2000.00,1.00,0.79,2000.00,2007.56,2007.56,2000.00,27.54,2.12e-01
1000.00,1000.00,1.00,1.57,880.85,1007.58,1126.73,1000.00,26.77,5.00e-02
2000.00,1000.00,1.00,1.57,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
1000.00,2000.00,1.00,1.57,990.06,2005.05,2014.99,2000.00,23.85,1.21e+00
2000.00,2000.00,1.00,1.57,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,1.00,2.36,825.90,1000.00,1174.10,1000.00,25.67,2.10e-01
2000.00,1000.00,1.00,2.36,970.55,1000.00,2029.45,1000.00,26.95,1.27e-01
1000.00,2000.00,1.00,2.36,970.55,2000.00,2029.45,2000.00,25.00,5.07e-01
2000.00,2000.00,1.00,2.36,1825.90,2000.00,2174.10,2000.00,25.44,7.38e-01
1000.00,1000.00,1.00,3.14,880.85,1007.58,1126.73,1000.00,26.77,5.00e-02
2000.00,1000.00,1.00,3.14,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
1000.00,2000.00,1.00,3.14,990.06,2005.05,2014.99,2000.00,23.85,1.21e+00
2000.00,2000.00,1.00,3.14,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,1.00,3.93,1000.00,1015.04,1015.04,1000.00,28.09,6.50e-02
2000.00,1000.00,1.00,3.93,1000.00,1010.07,2010.07,1000.00,27.40,1.02e-01
1000.00,2000.00,1.00,3.93,1010.07,2000.00,2010.07,2000.00,23.25,2.84e+00
2000.00,2000.00,1.00,3.93,2000.00,2007.56,2007.56,2000.00,27.54,2.12e-01
1000.00,1000.00,1.00,4.71,880.85,1007.58,1126.72,1000.00,26.77,5.00e-02
2000.00,1000.00,1.00,4.71,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
1000.00,2000.00,1.00,4.71,990.06,2005.05,2014.99,2000.00,23.85,1.21e+00
2000.00,2000.00,1.00,4.71,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,1.00,5.50,825.90,1000.00,1174.10,1000.00,25.67,2.10e-01
2000.00,1000.00,1.00,5.50,970.55,1000.00,2029.45,1000.00,26.95,1.27e-01
1000.00,2000.00,1.00,5.50,970.55,2000.00,2029.45,2000.00,25.00,5.07e-01
2000.00,2000.00,1.00,5.50,1825.90,2000.00,2174.10,2000.00,25.44,7.38e-01
1000.00,1000.00,1.00,6.28,880.85,1007.58,1126.73,1000.00,26.77,5.00e-02
2000.00,1000.00,1.00,6.28,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
1000.00,2000.00,1.00,6.28,990.06,2005.05,2014.99,2000.00,23.85,1.21e+00
2000.00,2000.00,1.00,6.28,1878.83,2003.79,2124.96,2000.00,26.41,1.97e-01
1000.00,1000.00,2.00,0.00,770.31,1030.31,1260.00,1000.00,28.10,1.14e-02
2000.00,1000.00,2.00,0.00,944.23,1020.27,2076.05,1000.00,28.10,1.90e-02
1000.00,2000.00,2.00,0.00,962.06,2020.17,2058.12,2000.00,26.37,9.88e-02
2000.00,2000.00,2.00,0.00,1761.71,2015.16,2253.45,2000.00,27.60,4.21e-02
1000.00,1000.00,2.00,0.79,1000.00,1058.89,1058.89,1000.00,29.19,1.80e-02
